Text,Retweet count,Favorite count
b'@nytimes Obama let the Izetis get wiped out and left them on Mt. Sinjar to die. He allowed ISIS to commit genocide\xe2\x80\xa6 https://t.co/n92f4wQBHh',0,0
b'eu colocaria o nome do meu gato de isis?????',0,0
b'\xf0\x9f\x91\x8d\xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x98\x89#',0,0
b'@RyanAFournier @Sunshine4744 Obama PROTECTED ISIS!',0,0
b'@jfirthlufc @LUFC_UM @Lewishunt893 https://t.co/XdOMtR1ueM',0,0
b'@RyanAFournier @skigolfhunt Great tweet. The Obama suckupers forgot how Obummer essentially bowed to ISIS. While Tr\xe2\x80\xa6 https://t.co/p0utvU4tO6',0,0
b'@RyanAFournier I think Obama was bent on helping ISIS. Or at least do zero to stop them. Witness: the insane rules\xe2\x80\xa6 https://t.co/ZHGaNEnIoQ',0,0
b'Beautiful work from @lynseyaddario .  #photojournalism at its finest.',0,0
"b'Quem s\xc3\xa3o as meninas mais gatas da tua sala? \xe2\x80\x94 aiyra, Iris, isis, jeniffer, tayssa e mel https://t.co/SL503sMlqX'",0,0
"b""@KimberlyMrsRR1 @AppSame Swine.. get rid of her before it's too late. We still have a chance to reverse her hate an\xe2\x80\xa6 https://t.co/8Q0Fc9qz3G""",0,0
b'I remember those days. Where we protested things that were real and mattered..\nInstead of shrieking about something\xe2\x80\xa6 https://t.co/YPcmbACbfA',0,0
"b'Hmmm kok gue malah mikir yg model begini 1 2 aja yg dipulangin ya. Dipulangin, di jaga ketat kehidupannya, biar mer\xe2\x80\xa6 https://t.co/gL2RIL0m1G'",0,0
b'Full update on recent ISIS activity in Tunisia and anti-terror operations launched - photos included. (March 2019) https://t.co/wxjQ4Iz8sO',0,0
b'@TheOnlyDon313 @4everquestion @CruxOrgan @HumanistReport @Alex032691 @KimIversenShow @AnaKasparian @TulsiGabbard\xe2\x80\xa6 https://t.co/2Y07o7YuEU',0,0
b'dikasih hidup nyaman disini malah memilih pergi. Yaudah tanggung sendiri aja dah sana :)',0,0
b'@_plukz Menurut saya kok tidak ada ya ex-ISIS soalnya kan permasalahan ideologi ini. Mereka dipulangkan tetapi teta\xe2\x80\xa6 https://t.co/DjRYfxTPH6',0,0
b'Puluhan WNI Ditemukan di Kamp Pengungsi ISIS https://t.co/rkwcb9w7hG',0,0
"b""Here's problem. An honorable President who loves America badgered for 2 yrs vs corrupt HC &amp; BO selling off USA to f\xe2\x80\xa6 https://t.co/n54Gte2hcn""",0,0
b'You should donate your campaign dollars to #charity @RandPaul @FoxNews @seanhannity @MarkDice @Lukewearechange\xe2\x80\xa6 https://t.co/HEql5iU82K',0,0
"b'As ISIS fell, Syrian hospital inundated by wave of its children https://t.co/MW0CbY87Il via @csmonitor'",0,0
"b'@RyanAFournier 0bama begat, armed, and financed ISIS.'",0,0
"b'Thread by @SaRaAshcraft: ""Someone just asked me ""Who are the ?"" Ansewer: All of the terrorists in the entire world,\xe2\x80\xa6 https://t.co/aehn2qcue8'",0,0
"b""It's time for the state to burn the remaining passports, but dare it?""",0,0
"b'Lah ibu, berangkat ke sana atas keinginan sendiri, lah kok pulangnya minta bantuan \xf0\x9f\x98\x91\xf0\x9f\x98\x91'",0,0
"b'Bener sih ""kemanusiaan"" tpi butuh waktu yg sangat lama ngejamin mreka ""bersih"" dan gk bikin rusuh lagi.'",0,0
"b""@GregNorberg ISIS is gone why doesn't the #UnitedStates send all #Muslim Refugees back home?""",0,0
"b""@ScytheIronclaw @tha_rami Dont know about you guys but i'm sick of all these ISIS pages""",0,0
"b'Everytime I shave, my neck looks like it narrowly escaped an isis beheading video. I need better razors.'",0,0
"b""Facts. Isn't ISIS defeated already? Why are they still bombing up the place killing innocent civilians. Israel and\xe2\x80\xa6 https://t.co/GRZTKjWTah""",0,0
b'https://t.co/LsiJPIlAsp',0,0
b'I\xe2\x80\x99ve said it before &amp; I\xe2\x80\x99ll say it again &amp; again until some justice is delivered: Nigel Farage literally sold out ou\xe2\x80\xa6 https://t.co/zNea7MQVzo',0,0
"b'My darkest thought is maybe somewhere; on the other side of our sea, those ISIS people still being smuggle in to Indonesia.'",0,0
b'Puluhan WNI ditemukan di antara ribuan petempur asing ISIS di kamp pengungsi\xc2\xa0Suriah https://t.co/BbdLZGQzas',0,0
b'Puluhan WNI ditemukan di antara ribuan petempur asing ISIS di kamp pengungsi\xc2\xa0Suriah https://t.co/NCPlhMjt1x',0,0
"b'@thotyuri Hello @ISIS, @ygent_official drew caricatures of prophet Muhammad. Time to bxmb.'",0,0
"b'Check out ""The OSINT-ification of ISIS on the Dark Web"" - via @smedian_network #ISIS #Osint #EthicalHacking\xe2\x80\xa6 https://t.co/vtc7uBDBOJ'",0,0
b'#Muslim:  #Syria #ISIS  #IS Islamic history relies on sources written 200 years after-the-fact https://t.co/Vxkoxn53WQ',0,0
"b""@keatonc33 @trreal @UNOFFENDEDPHIL @DLoesch 'Protections for practicing Muslims does not equal support for isis'\n\nJ\xe2\x80\xa6 https://t.co/4AlRqIAUgj""",0,0
"b""@joelockhart This is just BS. \nRemember:\n- Trump's secret ISIS plan &amp; all the plans he'd have in two weeks? \n- Trum\xe2\x80\xa6 https://t.co/9B0RpLbEtu""",0,0
b'2beer! Orang Suriah udah bera darah merangin ISIS sampe akhirnya ISIS kalah.\n\nSekarang mereka mau re-build negarany\xe2\x80\xa6 https://t.co/86CCspVGty',0,0
"b'Hmmm kok gue malah mikir yg model begini 1 2 aja yg dipulangin ya. Dipulangin, di jaga ketat kehidupannya, biar mer\xe2\x80\xa6 https://t.co/dCwN3NquQ0'",0,0
b'@cathryn_nicole',0,0
"b'Hey, those parking lots are big.'",0,0
b'60 Minutes investigates first ISIS-claimed attack in U.S. and what the FBI knew - CBS News https://t.co/YNzpnNEW1J https://t.co/JejWrojfVn',0,0
"b'The last street in the last village is gone, but the idea will be stubborn.'",0,0
b'Betulllll!!!!!',0,0
b'@analonelyg @666hta o lolo e a isis cmg ae',0,0
"b'@mari_morettoo super irma, quem dera a isis fosse assim'",0,0
"b""@RomImperator @craigrwall @deray @ABC7Chicago Like #ObamaFraud didn't know how the $150B sent to #Iran then to #ISIS??""",0,0
b'@wayneRu56 @MrTravoli @thehill he took the dossier to the fbi...he was in on it.  He was anti Trump from the beginn\xe2\x80\xa6 https://t.co/Vg6byxMYgK',0,0
"b'\xd9\x85\xd9\x82\xd8\xa7\xd9\x84 \xd8\xac\xd8\xaf\xd9\x8a\xd8\xb1 \xd8\xa8\xd8\xa7\xd9\x84\xd9\x82\xd8\xb1\xd8\xa7\xd8\xa1\xd8\xa9 \xd9\x81\xd9\x8a \xd8\xb5\xd8\xad\xd9\x8a\xd9\x81\xd8\xa9 \xd9\x86\xd9\x8a\xd9\x88\xd9\x8a\xd9\x88\xd8\xb1\xd9\x83 \xd8\xaa\xd8\xa7\xd9\x8a\xd9\x85\xd8\xb2 \xd9\x8a\xd8\xb3\xd8\xaa\xd9\x86\xd8\xaf \xd9\x84\xd9\x81\xd8\xb1\xd8\xb6\xd9\x8a\xd8\xa9 \xd9\x85\xd9\x81\xd8\xa7\xd8\xaf\xd9\x87\xd8\xa7 ""\xd8\xa3\xd9\x86 \xd8\xaf\xd8\xa7\xd8\xb9\xd8\xb4 \xd9\x83\xd8\xa7\xd9\x84\xd9\x85\xd8\xb1\xd8\xb6 \xd8\xa7\xd9\x84\xd9\x85\xd8\xb2\xd9\x85\xd9\x86 \xd8\xa7\xd9\x84\xd8\xb0\xd9\x8a \xd9\x86\xd8\xb9\xd8\xa7\xd9\x84\xd8\xac\xd9\x87 \xd8\xa8\xd8\xb4\xd9\x83\xd9\x84 \xd9\x85\xd8\xb3\xd8\xaa\xd9\x85\xd8\xb1\xd8\x8c \xd9\x84\xd9\x83\xd9\x86 \xd9\x84\xd8\xa7\xe2\x80\xa6 https://t.co/swfBMzt0EP'",0,0
b'@tubirfess Btw isis kalah knpa ya?\nAda yg tau?',0,0
"b'Pada ribut sama ex-ISIS ini perlu dipulangin atau nggak.\nIni permasalahan yg kompleks, tidak sesederhana kita tolak\xe2\x80\xa6 https://t.co/quhsOHuBAw'",0,0
b'Obama let ISIS have Syria.\n\nTrump let ISIS have a handicapped parking spot!',0,0
b'Venezuela \xf0\x9f\x87\xbb\xf0\x9f\x87\xaa next!!!',0,0
"b'In the #MiddleEast they have ""religion"" classes. \n\nThey\'re actually Islamic classes. They\'re  indicative of akin bi\xe2\x80\xa6 https://t.co/CrAzk5IQPd'",0,0
b'US-Kampf gegen ISIS in Syrien auch ohne ISIS-Territorium https://t.co/ZTCwSk8X5k',0,0
b'Syrien \xe2\x80\x93 Kriegsbericht vom 25. M\xc3\xa4rz 2019 https://t.co/zF8kQHuIUH',0,0
b'Puluhan WNI Ditemukan di Kamp Pengungsi ISIS https://t.co/8o5eVpkEyD @inilahdotcom . https://t.co/WVnT711ykw',0,0
b'Nope.\n\nAs forces openly carrying arms and engaging in combat without belonging to or owing allegiance to a recogniz\xe2\x80\xa6 https://t.co/MfYxeW2s6w',0,0
b'Watch little man hide behind wall and fire. Pop that head up and play whack a mole the right way.',0,0
b'isis- todo mundo',0,0
b'@ayaelectro Saya lebih sepakat kalau status WNI mereka dicabut.\n\nTidak perlu energi dan uang pajak rakyat dipakai u\xe2\x80\xa6 https://t.co/2gvvZ16BKe',0,0
"b'@washingtonpost I want some brave reporter to ask in a presser, ""What do you think of ISIS participating in the Sokovia Accords?""'",0,0
b'We now live in a world where #Bono is comfortable in #Davos and #TonyBlair is renowned for being #ThatGuy.',0,0
b'@Rodney_Fury @nytimes Saddam was a brutal dictator he had thousands of Kurds murdered and his regime was one of the\xe2\x80\xa6 https://t.co/sYIpTE12vk',0,0
b'It really be the homies u know for 8 years that join ISIS \xf0\x9f\x98\x94',0,0
b'insanity and apologetics infesting the low IQ WOMEN of #newzealand stop this nonsense before sharia law allows your\xe2\x80\xa6 https://t.co/UVEbo6ng9k',0,0
b'Just get the childrens back please',0,0
b'@winstonCovfefe @Bud_Doggin She is ISIS when they gonna remove her?',0,0
b'@__Smithckoff BONS ESTUDOS ISIS DESCULPA ATRAPALHAR',0,0
b'Still enormously impressed by @georgegalloway masterful performance in America.',0,0
b'Hay que pedirle ayuda a los Kurdos vieron como vencieron a ISIS por tierra ? No aplica para el Kurdo de Garcia Carneiro',0,0
"b'@RyanAFournier Disagree, Obama created ISIS and had zero interest in destroying his masterpiece. https://t.co/2JG2g9rcW2'",0,0
b'Begitu balik lagi ke Indonesia isi kepala tetap pengin khilafah. Syuraaam',0,0
b'Targeted #ISIS accounts\nhttps://t.co/VXCpRZ0WCR\nhttps://t.co/dZphzuAgz2\nhttps://t.co/M9u0ql4PiM\n#targets #iceisis #opiceisis',0,0
b'@VilorikN @libertylatina @ANDRES_CANO42 Oh shut up! Those animals you see in the video have killed way too many peo\xe2\x80\xa6 https://t.co/GptVJuFcFS',0,0
"b""This is fast moving folks. They're getting the full-on ISIS treatment. https://t.co/v4OWbs9KGM""",0,0
b'adeh dr jawa barat',0,0
b'@SenatorSinema I will be visiting and I want to know how in the hell you can state Americans can join ISIS to fight\xe2\x80\xa6 https://t.co/owsS9zd90C',0,0
b'US Coalition in Syria Using ISIS at Al Tanf https://t.co/Gjcb00ESI7 via @grtvnews',0,0
"b'@ #revolution \n#WaronDrugs  \nTrump is very quietly going about undoing what Sen. McCain did, that is ISIS and the p\xe2\x80\xa6 https://t.co/3XGRHhVdDH'",0,0
b'Its goin down for real.',0,0
b'Hampir baca OSIS.',0,0
b'Oke gaes... fix kita tunggu aksi bela isis di monas... buat kempi dan preti tempat dan waktu di persilahkan... \nOiy\xe2\x80\xa6 https://t.co/KcvyAXqvUR',0,0
b'Code Red by Allan J. Lewis #political #thriller #isis #USA #stand-alone https://t.co/1quJiFpCn4 via @KryssieFortune https://t.co/dyKYv2cFcq',0,0
"b""#Muslim:  #Syria #ISIS  #IS  Get your free copy of Peter Townsend's ebook On Islam and Indoctrination at: https://t.co/YO79zGpgrW""",0,0
b'Philip Schuyler on Twitter https://t.co/WVcZVDqUb9',0,0
"b'Eye popping list, Philip.'",0,0
"b'E aquela sua amiga Isis l\xc3\xa1, c\xc3\xaa t\xc3\xa1 doidoooo \xe2\x80\x94 N\xc3\xa3o \xc3\xa9 no anon que vc vai conseguir alguma coisa https://t.co/akGOzqj8hY'",0,0
b'c\xc3\xb3mo me puede haber hecho tanta gracia esta respuesta',0,0
b'Ahmed Rashid pops up to pretend that the Trump Beach Talibs have pasta.  From the guy who invented the squashed tan\xe2\x80\xa6 https://t.co/I0XaKijkJN',0,0
b'\xe2\x9b\x94ISIS\n\n\xe2\x9e\xa1https://t.co/7XKtzym2rJ\n\xf0\x9f\x86\x94https://t.co/vKgs1uI1YK\n\n\xe2\x9e\xa1https://t.co/uBlA1dkSHB\n\xf0\x9f\x86\x94https://t.co/16iDh87bkf\n\n[ #KatibaDesKuffars ]',0,0
"b'@agilivity @cinderelax_ @sadsyushi @sacriledgy HTI secara organisasi bubar, kroconya masih ada. ISIS juga lah gila aja.'",0,0
b'Israeli air to ground missiles seem to be to support terrorists still active around Aleppo. So much for the US clai\xe2\x80\xa6 https://t.co/QIrYog9O25',0,0
b'How ISIS\xe2\x80\x99s Brutal Project in the Middle East was Finally Overthrown https://t.co/X8ai0DiAr8 by @NatCounterPunch',0,0
"b'@arunjeba @rupasubramanya @NITIAayog After join in RSS  all scientists r finished ,all education opinion finished,\xe2\x80\xa6 https://t.co/WUNfcqFdtC'",0,0
b'ga usah balik.. mampus aja d sono',0,0
"b'Lah, ngapain ngurusin orang-orang yg jelas udah tau ideologi yg mereka anut itu termasuk eksekusi orang, pemerkosaa\xe2\x80\xa6 https://t.co/RHdYXfS8gq'",0,0
b'@realDonaldTrump',0,0
"b'When ISIS recruits children as killers, how hard is it to reverse the brainwashing? https://t.co/KIISwkHrNs'",0,0
b'Gak usah bu. Di sana aja.',0,0
"b'@timtime2 @ThirdWayTweet Take it easy, give the man a chance. He\xe2\x80\x99s done incredible things in just two short years..\xe2\x80\xa6 https://t.co/FiswFDxkUj'",0,0
b'@RyanAFournier @Lisa_Lisa_NJ Maybe Obama created ISIS.  Paid mercenaries of the Deep State.',0,0
